Crop,Nitrogen (N),Phosphorus (P),Potassium (K),Calcium (Ca),Magnesium (Mg),Sulfur (S),pH Level
Rice,1,2,2,1,1,1,6.5
Sugarcane,3,1,3,2,2,3,6.4
Soybeans,3,1,2,1,1,1,6.3
Potatoes,2,3,1,2,1,2,7.0
Carrots,1,3,2,2,3,2,6.3
Tomatoes,1,2,3,1,3,2,6.7
Maize (Corn),1,1,3,2,2,1,6.5
Beetroot,2,3,3,2,1,3,6.1
Onions,3,1,2,2,1,3,6.6
Maize (Corn),3,1,2,1,2,1,6.2
Onions,3,1,1,3,2,2,6.6
Maize (Corn),1,2,1,2,2,3,6.1
Potatoes,3,1,2,3,3,1,6.6
Potatoes,2,1,2,1,2,1,6.1
Carrots,3,2,2,2,3,2,6.7
Wheat,1,2,3,3,3,1,6.7
Potatoes,1,3,3,3,1,1,6.9
Beetroot,3,2,1,1,3,1,6.5
Potatoes,1,2,3,1,3,3,6.9
Rice,3,2,2,2,3,2,6.5
Sugarcane,3,1,2,2,2,1,6.4
Beetroot,3,3,1,1,2,1,6.2
Soybeans,3,2,2,2,3,3,6.7
Wheat,2,2,3,3,3,1,6.7
Onions,1,2,3,3,1,1,6.5
Rice,3,1,2,3,2,3,6.5
Beetroot,2,3,1,2,2,3,6.8
Wheat,1,1,2,2,3,2,6.5
Tomatoes,1,2,1,1,2,2,6.5
Carrots,3,3,1,1,2,3,6.8
Wheat,1,2,3,2,2,1,6.5
Sugarcane,3,1,1,1,2,1,6.8
Carrots,1,3,3,1,3,2,7.0
Beetroot,2,3,1,2,2,3,6.5
Sugarcane,2,3,3,2,2,3,6.0
Beetroot,3,1,2,2,1,1,6.6
Beetroot,2,2,2,3,3,1,6.0
Beetroot,3,1,3,3,3,1,6.9
Maize (Corn),3,2,3,3,3,2,6.3
Soybeans,2,1,3,1,3,2,6.1
Tomatoes,3,2,3,2,3,1,6.7
Sugarcane,3,1,3,1,2,2,6.9
Beetroot,3,3,1,3,3,2,6.3
Tomatoes,3,2,3,2,2,2,6.7
Beetroot,3,1,2,2,1,3,6.3
Potatoes,2,1,1,1,3,2,6.9
Carrots,3,3,1,2,3,1,6.6
Rice,2,2,3,1,3,2,6.2
Tomatoes,1,1,1,2,3,1,6.7
Onions,1,3,2,2,3,3,6.8
Onions,2,3,2,2,1,2,6.8
Carrots,3,3,1,1,2,3,6.4
Sugarcane,2,2,2,3,1,3,6.6
Wheat,3,1,1,3,3,1,6.5
Soybeans,3,2,2,3,2,3,6.3
Potatoes,1,1,3,1,3,2,7.0
Soybeans,1,1,2,1,2,2,6.2
Onions,1,1,2,3,3,2,6.2
Onions,3,2,3,3,1,3,6.4
Sugarcane,3,1,1,1,1,3,6.8
Carrots,2,1,1,3,2,1,6.5
Beetroot,2,2,3,1,1,3,6.9
Beetroot,2,2,1,3,1,2,6.4
Potatoes,1,2,3,3,1,3,6.6
Tomatoes,3,2,1,1,3,2,6.6
Soybeans,2,3,2,3,2,3,6.6
Sugarcane,2,2,1,2,2,1,6.4
Tomatoes,2,3,2,2,2,3,6.0
Carrots,2,2,1,1,3,2,6.2
Rice,1,1,2,3,3,2,6.4
Carrots,1,1,1,2,2,1,6.2
Beetroot,3,3,2,3,1,2,6.5
Sugarcane,1,2,2,2,1,1,6.4
Onions,3,1,1,3,3,2,6.4
Carrots,3,2,1,3,2,1,6.5
Beetroot,1,1,3,3,2,2,6.5
Onions,1,1,2,1,3,1,6.9
Soybeans,3,3,1,1,2,3,6.3
Potatoes,3,2,2,3,3,2,6.5
Wheat,3,1,1,1,3,3,6.1
Soybeans,3,2,3,3,1,3,6.9
Onions,3,2,3,3,3,1,6.2
Sugarcane,1,1,2,1,2,3,6.2
Maize (Corn),2,3,3,3,2,1,6.2
Maize (Corn),3,3,2,2,2,1,6.9
Soybeans,3,1,2,1,2,3,6.6
Onions,3,2,1,3,2,1,6.2
Onions,2,3,1,1,2,2,6.2
Soybeans,2,1,1,3,3,2,6.9
Maize (Corn),1,3,3,3,3,3,6.9
Wheat,2,2,1,2,3,1,6.7
Soybeans,3,3,2,3,3,2,6.3
Potatoes,3,1,3,2,2,1,7.0
Tomatoes,1,3,3,3,2,1,6.2
Rice,3,2,1,2,2,1,6.7
Onions,3,2,3,2,2,1,6.7
Sugarcane,2,1,3,2,3,3,6.3
Carrots,2,3,2,2,3,1,6.6
Maize (Corn),2,2,3,2,3,3,6.8
Carrots,1,3,3,3,3,1,6.8
Onions,3,2,1,3,3,2,6.9
Potatoes,3,1,1,1,1,3,6.3
Beetroot,2,1,3,3,3,2,6.5
Sugarcane,3,3,3,3,1,3,6.3
Soybeans,3,3,1,2,2,3,6.2
Carrots,3,3,2,3,1,2,6.0
Wheat,1,1,1,2,2,1,6.1
Carrots,2,1,2,3,3,1,6.9
Soybeans,1,2,3,2,1,1,6.7
Onions,1,1,2,3,2,3,6.1
Carrots,3,1,2,3,3,1,6.5
Wheat,1,2,3,2,3,3,6.6
Maize (Corn),1,1,2,3,1,2,6.6
Wheat,1,2,1,1,1,1,6.0
Onions,2,1,2,3,1,2,6.7
Beetroot,1,1,1,3,2,2,6.5
Rice,1,1,1,1,3,3,6.7
Wheat,3,3,3,2,1,2,7.0
Tomatoes,1,2,1,3,3,2,6.2
Tomatoes,2,3,1,2,3,2,6.2
Wheat,3,1,3,3,1,3,6.8
Soybeans,2,2,2,2,2,3,7.0
Rice,2,3,1,3,2,3,6.6
Tomatoes,2,1,3,3,3,2,6.7
Soybeans,2,1,1,2,3,2,6.1
Beetroot,3,1,2,2,1,2,6.8
Carrots,2,1,1,3,2,3,6.4
Beetroot,2,2,3,1,2,1,6.9
Carrots,3,1,2,1,1,2,6.7
Beetroot,2,2,2,1,2,1,6.1
Sugarcane,1,3,3,2,3,1,6.3
Onions,2,3,3,2,2,3,6.9
Sugarcane,1,2,3,2,3,3,6.6
Beetroot,3,2,3,2,3,1,6.9
Wheat,1,3,2,1,3,3,6.3
Wheat,3,1,3,1,1,2,6.9
Maize (Corn),2,1,3,2,2,3,6.2
Wheat,1,1,3,3,1,1,6.3
Tomatoes,2,2,2,2,2,3,6.9
Sugarcane,1,2,2,3,1,3,7.0
Soybeans,3,1,3,3,3,3,6.5
Rice,2,2,3,1,1,3,6.4
Maize (Corn),1,3,3,2,2,2,6.7
Tomatoes,3,1,1,2,1,1,6.9
Sugarcane,2,2,1,2,2,3,6.0
Carrots,2,1,3,3,2,1,6.1
Tomatoes,3,3,1,2,2,2,6.4
Carrots,2,1,2,2,3,1,6.1
Maize (Corn),2,2,3,3,1,2,6.1
Maize (Corn),3,1,1,3,1,3,6.2
Carrots,1,1,1,1,2,3,6.8
Carrots,1,1,1,3,1,3,6.3
Rice,2,2,3,2,1,2,6.9
Sugarcane,1,2,1,1,2,2,6.8
Wheat,3,1,2,1,3,1,6.4
Wheat,1,2,1,1,3,1,6.6
Maize (Corn),2,1,1,1,3,3,6.4
Maize (Corn),3,3,3,1,1,3,6.8
Sugarcane,3,2,1,2,1,3,6.6
Potatoes,1,3,2,3,1,1,6.7
Maize (Corn),1,3,1,2,1,3,6.7
Potatoes,3,3,3,1,1,3,6.4
Sugarcane,3,2,2,1,2,3,6.6
Wheat,3,3,1,3,2,1,6.0
Maize (Corn),3,3,1,1,1,3,6.9
Wheat,1,2,1,2,3,3,6.8
Rice,2,1,2,1,3,2,6.0
Wheat,1,3,1,1,2,3,6.9
Sugarcane,3,3,3,1,1,2,6.1
Soybeans,2,3,3,3,3,1,6.5
Carrots,2,2,1,1,3,3,6.9
Onions,1,2,3,3,1,1,6.0
Sugarcane,1,1,1,2,1,1,6.6
Tomatoes,1,2,1,1,3,2,6.5
Sugarcane,1,2,1,3,1,1,6.5
Sugarcane,3,2,3,2,3,2,6.0
Wheat,2,2,3,2,1,1,6.6
Onions,1,2,2,3,3,2,6.4
Rice,2,1,1,2,1,2,6.7
Wheat,1,2,1,1,3,3,6.3
Potatoes,1,1,1,2,2,1,6.1
Potatoes,2,1,3,3,2,1,6.7
Sugarcane,3,3,3,3,3,3,6.9
Potatoes,3,3,2,2,2,1,6.8
Soybeans,3,1,2,3,1,2,6.2
Rice,1,2,3,1,1,1,6.2
Wheat,3,1,3,1,1,2,6.6
Onions,2,1,3,2,1,3,6.8
Rice,2,3,3,2,2,3,6.3
Carrots,1,3,3,3,1,1,6.4
Onions,1,2,1,2,3,2,6.8
Potatoes,1,1,1,3,2,3,6.8
Soybeans,2,1,1,3,1,1,7.0
Rice,3,1,2,1,3,2,6.5
Beetroot,2,3,2,3,1,1,6.8
Onions,1,2,3,3,2,1,6.4
Rice,3,1,2,1,2,2,6.1
Rice,3,3,1,1,1,3,6.6
Potatoes,3,3,1,1,2,3,6.8
Onions,2,1,1,1,2,2,6.7
Onions,1,3,1,2,3,2,6.3
Tomatoes,3,3,3,1,3,1,6.4
Rice,2,2,3,3,3,2,6.9
Tomatoes,3,2,2,1,3,3,6.3
Tomatoes,1,3,1,1,1,1,6.5
Sugarcane,3,1,2,2,3,3,6.3
Rice,2,3,3,2,3,3,6.3
Soybeans,1,2,3,2,1,3,6.9
Carrots,1,3,2,2,3,2,6.9
Onions,2,1,3,1,3,2,6.3
Tomatoes,2,3,2,3,2,1,6.6
Wheat,2,1,2,2,1,1,6.3
Wheat,3,3,1,3,2,3,6.9
Wheat,1,1,1,1,1,3,6.2
Maize (Corn),1,3,3,1,2,3,6.8
Rice,1,3,2,2,3,2,6.5
Maize (Corn),2,1,1,3,1,3,6.8
Maize (Corn),1,3,2,3,2,2,6.6
Soybeans,2,2,1,1,1,1,6.9
Beetroot,2,3,2,2,2,1,6.4
Sugarcane,3,2,3,1,3,3,6.3
Sugarcane,2,2,3,1,3,1,6.6
Potatoes,2,2,2,2,3,3,6.3
Maize (Corn),3,2,2,3,3,3,6.1
Potatoes,3,3,3,3,3,1,6.5
Wheat,3,2,3,2,3,2,6.8
Beetroot,2,1,1,3,1,3,6.5
Potatoes,2,1,3,1,1,2,6.7
Tomatoes,1,3,3,2,3,2,6.7
Onions,1,1,3,3,1,1,6.5
Beetroot,3,2,1,1,2,3,6.7
Beetroot,3,1,2,2,3,1,6.8
Rice,1,1,1,1,2,2,6.1
Soybeans,3,3,3,2,1,1,6.4
Rice,2,3,3,2,3,1,6.3
Potatoes,1,3,1,2,3,3,6.2
Maize (Corn),1,3,1,1,3,2,6.5
Soybeans,3,2,1,3,1,2,6.5
Carrots,1,2,1,2,3,2,6.7
Potatoes,1,2,2,1,3,2,6.3
Beetroot,3,2,2,2,2,3,6.1
Maize (Corn),2,2,1,3,2,2,6.9
Potatoes,3,2,3,3,2,1,6.6
Rice,3,1,1,3,3,2,6.8
Maize (Corn),1,1,3,1,2,2,6.2
Sugarcane,1,3,1,1,2,3,6.3
Sugarcane,1,2,1,3,2,2,6.3
Carrots,2,1,3,3,1,3,6.5
Onions,1,2,2,1,1,3,6.4
Onions,1,3,3,1,3,3,6.3
Beetroot,3,1,3,3,2,1,6.9
Onions,2,3,2,1,1,3,6.7
Carrots,2,2,2,2,3,3,6.5
Soybeans,2,2,1,2,3,1,6.7
Sugarcane,3,2,3,3,3,2,6.1
Rice,1,2,2,1,2,1,7.0
Carrots,3,3,3,2,3,2,6.8
Tomatoes,1,1,2,3,1,1,6.3
Sugarcane,2,3,3,2,1,2,6.3
Carrots,1,1,1,2,1,3,6.3
Beetroot,2,1,3,1,3,2,6.4
Onions,1,1,3,3,1,2,6.5
Sugarcane,1,1,2,3,2,3,6.7
Onions,1,2,3,2,1,2,6.8
Potatoes,3,3,3,2,2,2,6.9
Soybeans,3,1,3,3,2,3,6.8
Beetroot,2,1,2,3,2,1,6.4
Soybeans,2,3,2,1,2,2,6.7
Wheat,1,3,2,2,2,1,6.6
Rice,3,1,2,3,3,1,6.4
Potatoes,1,1,1,2,3,2,6.0
Tomatoes,2,2,3,1,2,3,6.8
Onions,1,2,2,2,1,3,6.3
Carrots,1,2,1,1,1,3,6.5
Maize (Corn),1,3,1,2,3,1,6.3
Beetroot,2,3,3,3,1,1,6.7
Tomatoes,2,3,2,1,2,2,6.5
Sugarcane,2,3,2,2,3,1,6.3
Rice,3,1,2,1,3,2,6.6
Maize (Corn),1,2,1,1,1,3,6.9
Carrots,3,3,3,3,3,3,6.1
Soybeans,3,3,3,3,1,3,6.9
Soybeans,1,2,1,3,1,2,6.1
Carrots,2,1,1,1,2,3,6.3
Rice,3,3,1,1,1,3,7.0
Beetroot,3,2,2,1,3,1,6.9
Maize (Corn),1,3,2,1,1,3,6.6
Carrots,2,3,2,1,3,1,6.6
Sugarcane,2,1,1,3,3,2,6.2
Wheat,3,3,2,3,2,3,6.5
Onions,1,1,2,2,2,1,6.8
Rice,2,1,3,3,3,3,6.6
Soybeans,2,3,2,1,3,2,6.4
Potatoes,3,2,1,2,3,2,6.1
Tomatoes,2,3,2,1,2,3,6.7
Wheat,3,2,3,3,2,2,6.6
Rice,3,1,2,3,2,2,6.9
